姓 名,学 号,秋季学期,秋季学期,秋季学期,秋季学期,秋季学期,秋季学期,秋季学期,秋季学期,春季学期,春季学期,春季学期,春季学期,春季学期,春季学期,春季学期,春季学期,春季学期,春季学期,总 评,体能分析
Unnamed: 0_level_1,Unnamed: 1_level_1,单杠1练习,单杠1练习.1,双杠1练习,双杠1练习.1,仰卧起坐,仰卧起坐.1,3000米跑,3000米跑.1,30米×2蛇形跑,30米×2蛇形跑.1,100米跑,100米跑.1,单杠2练习,单杠2练习.1,双杠2练习,双杠2练习.1,徒手组合,徒手组合.1,Unnamed: 20_level_1,类型
,,,,,,,,,,,,,,,,,,,,,全能型
,,成绩,评定,成绩,评定,成绩,评定,成绩,评定,成绩,评定,成绩,评定,成绩,评定,成绩,评定,成绩,评定,,待提高型
,,6,及格,11,良好,60,及格,"13'8""",及格,"20""2",及格,"14""5",及格,6,及格,12,及格,"1'16""",优秀,及格,待提高型
,,15,优秀,20,优秀,68,良好,"11'19""",优秀,"18""7",优秀,"13""3",良好,8,良好,20,优秀,"1'14""",优秀,良好,全能型
,,6,及格,14,良好,54,及格,"12'39""",良好,"18""9",优秀,"13""3",良好,4,不及格,16,良好,"1'15""",优秀,不及格,均衡型
,,6,及格,12,良好,67,良好,"12'13""",良好,"20""6",不及格,"14""1",及格,1,不及格,12,及格,"1'19""",优秀,不及格,耐力型
,,7,及格,6,及格,77,优秀,"13'25""",及格,"19""1",良好,"13""8",及格,6,及格,12,及格,"1'01""",优秀,及格,灵活协调型
,,14,良好,18,优秀,78,优秀,"12'01""",优秀,"18""8",优秀,"13""5",良好,9,优秀,21,优秀,"1'04""",优秀,良好,全能型
,,15,优秀,18,优秀,77,优秀,"12'40""",良好,"18""8",优秀,"13""4",良好,9,优秀,20,优秀,"1'03""",优秀,良好,全能型
,,15,优秀,18,优秀,77,优秀,"11'16""",优秀,"18""8",优秀,"12""2",优秀,9,优秀,20,优秀,"1'05""",优秀,优秀,全能型
,,7,及格,11,良好,77,优秀,"12'59""",及格,"18""8",优秀,"14""1",及格,6,及格,12,及格,"1'10""",优秀,及格,速度型
,,10,良好,18,优秀,68,良好,"12'36""",良好,"18""9",优秀,"13""6",及格,7,良好,20,优秀,"1'14""",优秀,良好,灵活协调型
,,15,优秀,18,优秀,77,优秀,"12'30""",良好,"18""2",优秀,"13""2",良好,8,良好,20,优秀,"1'01""",优秀,良好,全能型
,,12,良好,18,优秀,77,优秀,"12'41""",及格,"19""1",良好,"13""5",良好,6,及格,20,优秀,"1'01""",优秀,及格,力量型
,,5,及格,6,及格,65,良好,"15'06""",不及格,"21""6",不及格,"15""8",不及格,0,不及格,0,不及格,"1'23""",良好,不及格,灵活协调型
,,10,良好,18,优秀,77,优秀,"12'45""",及格,"20""1",及格,"13""5",良好,7,良好,20,优秀,"59""",优秀,及格,力量型
,,14,良好,13,良好,78,优秀,"13'17""",及格,"20""1",及格,"14""5",及格,6,及格,20,优秀,"1'13""",优秀,及格,力量型
,,6,及格,6,及格,68,良好,"12'56""",及格,"20""1",及格,"14""3",及格,6,及格,12,及格,"1'19""",优秀,及格,灵活协调型
,,9,及格,14,良好,68,良好,"12'53""",及格,"18""4",优秀,"14""1",及格,7,良好,15,及格,"1'08""",优秀,及格,速度型
,,6,及格,18,优秀,67,良好,"11'34""",优秀,"18""9",优秀,"13""1",良好,9,优秀,20,优秀,"59""",优秀,良好,全能型
,,15,优秀,18,优秀,74,良好,"11'12""",优秀,"19""6",及格,"12""4",优秀,9,优秀,20,优秀,"1'15""",优秀,良好,全能型
,,10,良好,18,优秀,60,及格,"12'36""",良好,"20""1",及格,"12""4",优秀,7,良好,16,良好,"1'02""",优秀,及格,均衡型
,,16,优秀,18,优秀,67,良好,"12'00""",优秀,"18""4",优秀,"13""0",良好,9,优秀,20,优秀,"1'04""",优秀,优秀,全能型
,,15,优秀,18,优秀,71,良好,"11'37""",优秀,"19""2",良好,"13""6",及格,7,良好,20,优秀,"53""",优秀,良好,灵活协调型
,,15,优秀,18,优秀,65,及格,"10'55""",优秀,"18""1",优秀,"13""1",良好,6,及格,20,优秀,"53""",优秀,及格,均衡型
,,15,优秀,18,优秀,62,及格,"12'33""",良好,"17""9",优秀,"12""6",优秀,7,良好,16,良好,"1'22""",良好,良好,均衡型
,,15,优秀,18,优秀,77,优秀,"11'27""",优秀,"17""8",优秀,"13""0",良好,9,优秀,20,优秀,"55""",优秀,优秀,全能型
,,15,优秀,18,优秀,68,良好,"11'55""",优秀,"19""5",良好,"13""5",良好,9,优秀,20,优秀,"55""",优秀,良好,全能型
,,15,优秀,18,优秀,77,优秀,"12'21""",良好,"18""8",优秀,"14""1",及格,9,优秀,20,优秀,"57""",优秀,良好,全能型
,,15,优秀,18,优秀,77,优秀,"12'28""",良好,"18""7",优秀,"12""6",优秀,9,优秀,20,优秀,"57""",优秀,优秀,全能型
,,15,优秀,18,优秀,77,优秀,"11'59""",优秀,"19""1",良好,"14""5",及格,6,及格,20,优秀,"53""",优秀,及格,全能型
,,11,良好,18,优秀,62,及格,"12'43""",及格,"19""1",良好,"14""1",及格,7,良好,12,及格,"1'11""",优秀,及格,力量型
,,15,优秀,11,良好,78,优秀,"13'20""",及格,"19""7",良好,"14""1",及格,3,不及格,15,及格,"1'00""",优秀,不及格,灵活协调型
